"Year","Site","X1","X2","OccCov1","Occ"
1,2,-1.5696710443593,-1.67792421983235,-1.26985838448715,0
1,5,-1.24491151794013,-1.67792421983235,-0.799470912157265,1
1,5,-1.24491151794013,-1.67792421983235,-0.799470912157265,1
1,5,-1.24491151794013,-1.67792421983235,-0.799470912157265,0
1,5,-1.24491151794013,-1.67792421983235,-0.799470912157265,1
1,6,-1.13665834246708,-1.67792421983235,1.05243679790561,0
1,6,-1.13665834246708,-1.67792421983235,1.05243679790561,1
1,7,-1.02840516699402,-1.67792421983235,-0.341173289247609,0
1,8,-0.920151991520966,-1.67792421983235,0.613047377327138,0
1,9,-0.811898816047911,-1.67792421983235,1.90457506852041,0
1,9,-0.811898816047911,-1.67792421983235,1.90457506852041,0
1,10,-0.703645640574857,-1.67792421983235,-0.356398824594457,0
1,10,-0.703645640574857,-1.67792421983235,-0.356398824594457,0
1,11,-0.595392465101802,-1.67792421983235,0.269856020953284,0
1,12,-0.487139289628747,-1.67792421983235,-1.3701628214457,0
1,12,-0.487139289628747,-1.67792421983235,-1.3701628214457,0
1,12,-0.487139289628747,-1.67792421983235,-1.3701628214457,0
1,13,-0.378886114155692,-1.67792421983235,0.184721784132708,0
1,14,-0.270632938682637,-1.67792421983235,-3.04766750646981,0
1,14,-0.270632938682637,-1.67792421983235,-3.04766750646981,0
1,15,-0.162379763209582,-1.67792421983235,-0.769954607905441,0
1,17,0.0541265877365274,-1.67792421983235,-0.0928902584526896,0
1,17,0.0541265877365274,-1.67792421983235,-0.0928902584526896,0
1,18,0.162379763209582,-1.67792421983235,-0.928868660322532,0
1,18,0.162379763209582,-1.67792421983235,-0.928868660322532,0
1,18,0.162379763209582,-1.67792421983235,-0.928868660322532,0
1,19,0.270632938682637,-1.67792421983235,-1.07862313691257,0
1,19,0.270632938682637,-1.67792421983235,-1.07862313691257,0
1,19,0.270632938682637,-1.67792421983235,-1.07862313691257,0
1,19,0.270632938682637,-1.67792421983235,-1.07862313691257,0
1,22,0.595392465101801,-1.67792421983235,0.090237734929412,0
1,22,0.595392465101801,-1.67792421983235,0.090237734929412,0
1,23,0.703645640574857,-1.67792421983235,2.34600011114198,0
1,23,0.703645640574857,-1.67792421983235,2.34600011114198,0
1,24,0.811898816047911,-1.67792421983235,0.292974785252733,0
1,24,0.811898816047911,-1.67792421983235,0.292974785252733,0
1,25,0.920151991520966,-1.67792421983235,0.423377399093054,0
1,26,1.02840516699402,-1.67792421983235,-1.469687458627,0
1,27,1.13665834246708,-1.67792421983235,-0.524478785505495,0
1,27,1.13665834246708,-1.67792421983235,-0.524478785505495,0
1,28,1.24491151794013,-1.67792421983235,-0.457547871034392,0
1,28,1.24491151794013,-1.67792421983235,-0.457547871034392,0
1,29,1.35316469341319,-1.67792421983235,1.01222466281234,0
1,29,1.35316469341319,-1.67792421983235,1.01222466281234,1
1,29,1.35316469341319,-1.67792421983235,1.01222466281234,0
1,30,1.46141786888624,-1.67792421983235,-0.643361512737982,0
1,30,1.46141786888624,-1.67792421983235,-0.643361512737982,0
1,31,1.5696710443593,-1.67792421983235,0.0134312971582902,0
1,31,1.5696710443593,-1.67792421983235,0.0134312971582902,0
1,31,1.5696710443593,-1.67792421983235,0.0134312971582902,0
1,32,1.67792421983235,-1.67792421983235,-1.12034449996998,0
1,32,1.67792421983235,-1.67792421983235,-1.12034449996998,0
1,32,1.67792421983235,-1.67792421983235,-1.12034449996998,0
1,32,1.67792421983235,-1.67792421983235,-1.12034449996998,0
1,32,1.67792421983235,-1.67792421983235,-1.12034449996998,0
1,34,-1.5696710443593,-1.5696710443593,1.69072652149884,0
1,35,-1.46141786888624,-1.5696710443593,-0.285895860728482,0
1,36,-1.35316469341319,-1.5696710443593,-0.951153145057862,0
1,36,-1.35316469341319,-1.5696710443593,-0.951153145057862,0
1,36,-1.35316469341319,-1.5696710443593,-0.951153145057862,0
1,36,-1.35316469341319,-1.5696710443593,-0.951153145057862,0
